station_number,wban_number,year,month,day,mean_temp,num_mean_temp_samples,mean_dew_point,num_mean_dew_point_samples,mean_sealevel_pressure,num_mean_sealevel_pressure_samples,mean_station_pressure,num_mean_station_pressure_samples,mean_visibility,num_mean_visibility_samples,mean_wind_speed,num_mean_wind_speed_samples,max_sustained_wind_speed,max_gust_wind_speed,max_temperature,max_temperature_explicit,min_temperature,min_temperature_explicit,total_precipitation,snow_depth,fog,rain,snow,hail,thunder,tornado
727930,24233,2006,12,1,38.5,24,36.400001525878906,24,1034.0999755859375,13.0,,,8.399999618530273,24,2.799999952316284,24.0,8.899999618530273,,33.79999923706055,True,,,0.0,,False,False,False,False,False,False
722544,13958,2009,4,17,65.0,24,61.400001525878906,24,1012.7000122070312,13.0,,,6.099999904632568,24,6.199999809265137,24.0,12.0,19.0,60.79999923706055,True,,,0.019999999552965164,,False,False,False,False,False,False
722544,13958,2009,11,8,65.0999984741211,24,60.900001525878906,24,1017.0999755859375,14.0,,,5.900000095367432,24,1.5,24.0,5.099999904632568,,60.099998474121094,False,,,0.5799999833106995,,True,True,True,True,True,True
727930,24233,2009,2,10,35.099998474121094,24,27.799999237060547,24,1015.4000244140625,16.0,,,8.600000381469727,24,7.5,24.0,11.100000381469727,20.0,30.899999618530273,False,,,0.03999999910593033,,True,True,True,True,True,True
722544,13958,2005,5,30,73.19999694824219,24,66.0,24,1007.7000122070312,17.0,,,8.699999809265137,24,3.0999999046325684,24.0,6.0,,66.0,False,,,0.47999998927116394,,True,True,True,True,True,True
725650,3017,2005,5,30,53.099998474121094,24,47.20000076293945,24,1011.2000122070312,18.0,,,9.300000190734863,24,9.600000381469727,24.0,17.100000381469727,25.100000381469727,46.0,False,,,0.11999999731779099,,True,True,True,True,True,True
722544,13958,2008,4,27,66.4000015258789,24,57.0,24,1016.0999755859375,18.0,,,9.100000381469727,24,7.0,24.0,16.899999618530273,27.0,57.0,False,,,0.0,,True,True,True,True,True,True
722544,13958,2005,4,3,60.29999923706055,23,40.29999923706055,23,1020.0999755859375,19.0,,,4.300000190734863,23,3.9000000953674316,23.0,10.100000381469727,,46.0,True,,,0.0,,False,False,False,False,False,False
725033,94728,2005,11,22,44.79999923706055,24,41.79999923706055,24,988.5999755859375,19.0,,,4.599999904632568,24,7.800000190734863,24.0,14.0,28.0,39.900001525878906,False,,,0.949999988079071,,True,True,True,True,True,True
725033,94728,2007,10,18,67.5999984741211,19,60.0,19,1014.9000244140625,19.0,,,7.300000190734863,19,2.299999952316284,19.0,5.099999904632568,,62.599998474121094,True,,,0.0,,False,False,False,False,False,False
725650,3017,2007,10,14,42.0,24,39.400001525878906,24,1012.4000244140625,19.0,,,6.599999904632568,24,10.0,24.0,20.0,26.0,37.400001525878906,True,,,0.550000011920929,,False,False,False,False,False,False
725033,94728,2006,2,3,52.5,24,45.599998474121094,24,1006.7999877929688,20.0,,,7.400000095367432,24,7.800000190734863,24.0,13.0,22.0,46.400001525878906,True,,,0.27000001072883606,,False,False,False,False,False,False
725033,94728,2007,3,18,31.399999618530273,21,12.100000381469727,21,1011.7999877929688,20.0,,,10.0,21,8.5,21.0,14.0,25.100000381469727,26.600000381469727,True,,,0.0,,False,False,False,False,False,False
727930,24233,2007,5,22,51.79999923706055,24,45.099998474121094,24,1023.7000122070312,20.0,,,9.199999809265137,24,3.9000000953674316,24.0,8.899999618530273,,46.400001525878906,True,,,0.3100000023841858,,False,False,False,False,False,False
725033,94728,2008,4,7,44.099998474121094,24,34.20000076293945,24,1026.5999755859375,20.0,,,10.0,24,10.0,24.0,15.0,22.0,41.0,False,,,0.0,,False,False,False,False,False,False
727930,24233,2009,3,28,42.5,24,35.599998474121094,24,1019.9000244140625,20.0,,,9.100000381469727,24,7.800000190734863,24.0,14.0,19.0,37.400001525878906,True,,,0.23000000417232513,,False,False,False,False,False,False
725650,3017,2005,12,3,31.200000762939453,24,23.899999618530273,24,1007.0999755859375,21.0,,,7.800000190734863,24,8.399999618530273,24.0,17.100000381469727,22.0,26.100000381469727,True,,,0.1899999976158142,2.0,True,True,True,True,True,True
722544,13958,2005,6,5,81.0999984741211,24,69.69999694824219,24,1008.5999755859375,21.0,,,9.899999618530273,24,6.099999904632568,24.0,11.100000381469727,16.899999618530273,73.0,False,,,0.0,,False,False,False,False,False,False
722544,13958,2006,4,26,65.30000305175781,24,48.400001525878906,24,1016.5,21.0,,,10.0,24,7.0,24.0,11.100000381469727,15.899999618530273,59.0,True,,,0.0,,False,False,False,False,False,False
722544,13958,2006,9,9,75.5999984741211,24,65.5,24,1013.9000244140625,21.0,,,8.199999809265137,24,3.0,24.0,7.0,,69.0999984741211,False,,,0.07999999821186066,,False,False,False,False,False,False
727930,24233,2006,11,3,52.599998474121094,24,49.0,24,1006.7000122070312,21.0,,,7.300000190734863,24,10.699999809265137,24.0,19.0,25.100000381469727,44.099998474121094,False,,,1.1799999475479126,,False,False,False,False,False,False
